Algorithm,DataType,Size,AvgTime(ms)
"Merge Sort","Sorted (Asc)",1000,0.084300
"Merge Sort","Sorted (Asc)",5000,0.447700
"Merge Sort","Sorted (Asc)",10000,0.821100
"Merge Sort","Sorted (Asc)",20000,1.618400
"Merge Sort","Sorted (Asc)",50000,4.479600
"Merge Sort","Sorted (Asc)",100000,8.393600
"Merge Sort","Sorted (Asc)",200000,16.921800
"Merge Sort","Sorted (Asc)",500000,42.434800
"Merge Sort","Sorted (Asc)",1000000,82.161100
"Quick Sort","Partially Sorted (10%)",1000,0.017600
"Quick Sort","Partially Sorted (10%)",5000,0.087700
"Quick Sort","Partially Sorted (10%)",10000,0.189000
"Quick Sort","Partially Sorted (10%)",20000,0.408800
"Quick Sort","Partially Sorted (10%)",50000,1.067000
"Quick Sort","Partially Sorted (10%)",100000,2.863700
"Quick Sort","Partially Sorted (10%)",200000,4.832000
"Quick Sort","Partially Sorted (10%)",500000,13.821200
"Quick Sort","Partially Sorted (10%)",1000000,30.370000
"Quick Sort","Random",1000,0.027800
"Quick Sort","Random",5000,0.168000
"Quick Sort","Random",10000,0.360700
"Quick Sort","Random",20000,0.757300
"Quick Sort","Random",50000,2.111300
"Quick Sort","Random",100000,4.513800
"Quick Sort","Random",200000,9.453200
"Quick Sort","Random",500000,25.342400
"Quick Sort","Random",1000000,52.948300
"Quick Sort","Reversed (Desc)",1000,0.012100
"Quick Sort","Reversed (Desc)",5000,0.070400
"Quick Sort","Reversed (Desc)",10000,0.139800
"Quick Sort","Reversed (Desc)",20000,0.303700
"Quick Sort","Reversed (Desc)",50000,0.832200
"Quick Sort","Reversed (Desc)",100000,1.926000
"Quick Sort","Reversed (Desc)",200000,4.029400
"Quick Sort","Reversed (Desc)",500000,10.982900
"Quick Sort","Reversed (Desc)",1000000,22.888000
"Quick Sort","Sorted (Asc)",1000,0.006900
"Quick Sort","Sorted (Asc)",5000,0.037700
"Quick Sort","Sorted (Asc)",10000,0.079200
"Quick Sort","Sorted (Asc)",20000,0.188400
"Quick Sort","Sorted (Asc)",50000,0.659800
"Quick Sort","Sorted (Asc)",100000,0.971300
"Quick Sort","Sorted (Asc)",200000,2.372800
"Quick Sort","Sorted (Asc)",500000,5.396700
